layer,accuracy,phon_lang,model_lang,model_seed
2,0.5614,de,fr,2
3,0.609,de,fr,2
4,0.6433,de,fr,2
5,0.6575,de,fr,2
6,0.6588,de,fr,2
7,0.6676,de,fr,2
8,0.6656,de,fr,2
9,0.653,de,fr,2
10,0.6418,de,fr,2
11,0.6262,de,fr,2
12,0.5984,de,fr,2
0,0.3916,de,fr,4
1,0.4894,de,fr,4
2,0.5735,de,fr,4
3,0.6199,de,fr,4
4,0.6485,de,fr,4
5,0.664,de,fr,4
6,0.6598,de,fr,4
7,0.6651,de,fr,4
8,0.6623,de,fr,4
9,0.6545,de,fr,4
10,0.6469,de,fr,4
11,0.6391,de,fr,4
12,0.6119,de,fr,4
0,0.3903,de,fr,5
1,0.4909,de,fr,5
2,0.5856,de,fr,5
3,0.6157,de,fr,5
4,0.6347,de,fr,5
5,0.6424,de,fr,5
6,0.6542,de,fr,5
7,0.656,de,fr,5
8,0.6588,de,fr,5
9,0.6656,de,fr,5
10,0.6542,de,fr,5
11,0.6392,de,fr,5
12,0.6041,de,fr,5
0,0.3887,de,fr,6
1,0.4935,de,fr,6
2,0.5753,de,fr,6
3,0.6209,de,fr,6
4,0.6418,de,fr,6
5,0.6569,de,fr,6
6,0.6542,de,fr,6
7,0.6577,de,fr,6
8,0.6618,de,fr,6
9,0.6688,de,fr,6
10,0.6643,de,fr,6
11,0.6499,de,fr,6
12,0.6154,de,fr,6
0,0.3921,de,fr,7
1,0.4922,de,fr,7
2,0.5737,de,fr,7
3,0.6153,de,fr,7
4,0.6485,de,fr,7
5,0.66,de,fr,7
6,0.6615,de,fr,7
7,0.6636,de,fr,7
8,0.6691,de,fr,7
9,0.6637,de,fr,7
10,0.6549,de,fr,7
11,0.6462,de,fr,7
12,0.6142,de,fr,7
0,0.3831,de,fr2en,1
1,0.4963,de,fr2en,1
2,0.5807,de,fr2en,1
3,0.6288,de,fr2en,1
4,0.6685,de,fr2en,1
5,0.6789,de,fr2en,1
6,0.6854,de,fr2en,1
7,0.6884,de,fr2en,1
8,0.6966,de,fr2en,1
9,0.6921,de,fr2en,1
10,0.6828,de,fr2en,1
11,0.6745,de,fr2en,1
12,0.6369,de,fr2en,1
0,0.3889,de,fr2en,2
1,0.5053,de,fr2en,2
2,0.5865,de,fr2en,2
3,0.632,de,fr2en,2
4,0.6606,de,fr2en,2
5,0.6734,de,fr2en,2
6,0.6792,de,fr2en,2
7,0.6847,de,fr2en,2
8,0.6867,de,fr2en,2
9,0.6925,de,fr2en,2
10,0.6883,de,fr2en,2
11,0.6766,de,fr2en,2
12,0.6401,de,fr2en,2
0,0.3859,de,fr2en,3
1,0.4956,de,fr2en,3
2,0.5806,de,fr2en,3
3,0.628,de,fr2en,3
4,0.6562,de,fr2en,3
5,0.6801,de,fr2en,3
6,0.6765,de,fr2en,3
7,0.6828,de,fr2en,3
8,0.687,de,fr2en,3
9,0.6912,de,fr2en,3
10,0.6947,de,fr2en,3
11,0.685,de,fr2en,3
12,0.6523,de,fr2en,3
0,0.3863,de,fr2en,4
1,0.5039,de,fr2en,4
2,0.5891,de,fr2en,4
3,0.635,de,fr2en,4
4,0.6574,de,fr2en,4
5,0.6724,de,fr2en,4
6,0.6757,de,fr2en,4
7,0.6842,de,fr2en,4
8,0.6906,de,fr2en,4
9,0.6959,de,fr2en,4
10,0.6949,de,fr2en,4
11,0.684,de,fr2en,4
12,0.653,de,fr2en,4
0,0.3911,de,fr2en,5
1,0.5014,de,fr2en,5
2,0.5837,de,fr2en,5
3,0.6216,de,fr2en,5
4,0.6516,de,fr2en,5
5,0.6744,de,fr2en,5
6,0.6807,de,fr2en,5
7,0.6877,de,fr2en,5
8,0.6887,de,fr2en,5
9,0.695,de,fr2en,5
10,0.6904,de,fr2en,5
11,0.6797,de,fr2en,5
12,0.6476,de,fr2en,5
0,0.3069,en,de,1
1,0.3735,en,de,1
2,0.4356,en,de,1
3,0.483,en,de,1
4,0.5142,en,de,1
5,0.5352,en,de,1
6,0.5429,en,de,1
7,0.5416,en,de,1
8,0.5464,en,de,1
9,0.5518,en,de,1
10,0.5432,en,de,1
11,0.5368,en,de,1
12,0.5193,en,de,1
0,0.3066,en,de,2
1,0.3695,en,de,2
2,0.4404,en,de,2
3,0.4764,en,de,2
4,0.5116,en,de,2
5,0.531,en,de,2
6,0.5364,en,de,2
7,0.5445,en,de,2
8,0.5571,en,de,2
9,0.556,en,de,2
10,0.5473,en,de,2
11,0.544,en,de,2
12,0.5239,en,de,2
0,0.307,en,de,3
1,0.3775,en,de,3
2,0.4432,en,de,3
3,0.4913,en,de,3
4,0.5177,en,de,3
5,0.5326,en,de,3
6,0.5389,en,de,3
7,0.5437,en,de,3
8,0.551,en,de,3
9,0.5483,en,de,3
10,0.5459,en,de,3
11,0.543,en,de,3
12,0.5239,en,de,3
0,0.3053,en,de,4
1,0.377,en,de,4
2,0.45,en,de,4
3,0.4942,en,de,4
4,0.5242,en,de,4
5,0.5339,en,de,4
6,0.5454,en,de,4
7,0.55,en,de,4
8,0.5459,en,de,4
9,0.5483,en,de,4
10,0.5472,en,de,4
11,0.5442,en,de,4
12,0.525,en,de,4
0,0.3049,en,de,5
1,0.3734,en,de,5
2,0.4471,en,de,5
3,0.4914,en,de,5
4,0.5138,en,de,5
5,0.5352,en,de,5
6,0.5442,en,de,5
7,0.551,en,de,5
8,0.5486,en,de,5
9,0.5501,en,de,5
10,0.5469,en,de,5
