layer,score,eval_lang,model_a,seed_a,model_b,seed_b,pre_steps
11,0.5434,de,de,4,fr,7,0
12,0.5704,de,de,4,fr,7,0
0,0.9758,de,de,5,fr,1,0
1,0.7804,de,de,5,fr,1,0
2,0.6709,de,de,5,fr,1,0
3,0.5837,de,de,5,fr,1,0
4,0.5565,de,de,5,fr,1,0
5,0.5109,de,de,5,fr,1,0
6,0.4701,de,de,5,fr,1,0
7,0.5737,de,de,5,fr,1,0
8,0.5523,de,de,5,fr,1,0
9,0.5701,de,de,5,fr,1,0
10,0.5622,de,de,5,fr,1,0
11,0.403,de,de,5,fr,1,0
12,0.5035,de,de,5,fr,1,0
0,0.9592,de,de,5,fr,2,0
1,0.7831,de,de,5,fr,2,0
2,0.6699,de,de,5,fr,2,0
3,0.5721,de,de,5,fr,2,0
4,0.5364,de,de,5,fr,2,0
5,0.5362,de,de,5,fr,2,0
6,0.5471,de,de,5,fr,2,0
7,0.5903,de,de,5,fr,2,0
8,0.5946,de,de,5,fr,2,0
9,0.614,de,de,5,fr,2,0
10,0.5704,de,de,5,fr,2,0
11,0.4342,de,de,5,fr,2,0
12,0.519,de,de,5,fr,2,0
0,0.9715,de,de,5,fr,4,0
1,0.7921,de,de,5,fr,4,0
2,0.6945,de,de,5,fr,4,0
3,0.6099,de,de,5,fr,4,0
4,0.5751,de,de,5,fr,4,0
5,0.5665,de,de,5,fr,4,0
6,0.4901,de,de,5,fr,4,0
7,0.5525,de,de,5,fr,4,0
8,0.5967,de,de,5,fr,4,0
9,0.6078,de,de,5,fr,4,0
10,0.5417,de,de,5,fr,4,0
11,0.4355,de,de,5,fr,4,0
12,0.4724,de,de,5,fr,4,0
0,0.9756,de,de,5,fr,5,0
1,0.7934,de,de,5,fr,5,0
2,0.6637,de,de,5,fr,5,0
3,0.5715,de,de,5,fr,5,0
4,0.5404,de,de,5,fr,5,0
5,0.5355,de,de,5,fr,5,0
6,0.5702,de,de,5,fr,5,0
7,0.619,de,de,5,fr,5,0
8,0.494,de,de,5,fr,5,0
9,0.5359,de,de,5,fr,5,0
10,0.597,de,de,5,fr,5,0
11,0.4359,de,de,5,fr,5,0
12,0.4924,de,de,5,fr,5,0
0,0.9799,de,de,5,fr,6,0
1,0.7765,de,de,5,fr,6,0
2,0.6626,de,de,5,fr,6,0
3,0.6026,de,de,5,fr,6,0
4,0.5503,de,de,5,fr,6,0
5,0.5422,de,de,5,fr,6,0
6,0.4973,de,de,5,fr,6,0
7,0.5697,de,de,5,fr,6,0
8,0.5811,de,de,5,fr,6,0
9,0.6077,de,de,5,fr,6,0
10,0.5313,de,de,5,fr,6,0
11,0.4103,de,de,5,fr,6,0
12,0.4701,de,de,5,fr,6,0
0,0.9717,de,de,5,fr,7,0
1,0.7957,de,de,5,fr,7,0
2,0.6977,de,de,5,fr,7,0
3,0.6265,de,de,5,fr,7,0
4,0.5895,de,de,5,fr,7,0
5,0.5851,de,de,5,fr,7,0
6,0.5574,de,de,5,fr,7,0
7,0.5563,de,de,5,fr,7,0
8,0.548,de,de,5,fr,7,0
9,0.6472,de,de,5,fr,7,0
10,0.5969,de,de,5,fr,7,0
11,0.4411,de,de,5,fr,7,0
