epoch,layer,model_a,seed_a,model_b,seed_b,score
22,0,de,4,fr,6,0.9553
23,0,de,4,fr,6,0.9742
24,0,de,4,fr,6,0.9793
4,1,de,4,fr,6,0.799
5,1,de,4,fr,6,0.8222
6,1,de,4,fr,6,0.8285
7,1,de,4,fr,6,0.8042
8,1,de,4,fr,6,0.7767
9,1,de,4,fr,6,0.7845
10,1,de,4,fr,6,0.807
11,1,de,4,fr,6,0.8281
12,1,de,4,fr,6,0.8017
13,1,de,4,fr,6,0.8071
14,1,de,4,fr,6,0.787
15,1,de,4,fr,6,0.8004
16,1,de,4,fr,6,0.7957
17,1,de,4,fr,6,0.8138
18,1,de,4,fr,6,0.8297
19,1,de,4,fr,6,0.8021
20,1,de,4,fr,6,0.8322
21,1,de,4,fr,6,0.8185
22,1,de,4,fr,6,0.8419
23,1,de,4,fr,6,0.8496
24,1,de,4,fr,6,0.8111
4,2,de,4,fr,6,0.5939
5,2,de,4,fr,6,0.6793
6,2,de,4,fr,6,0.6294
7,2,de,4,fr,6,0.6737
8,2,de,4,fr,6,0.658
9,2,de,4,fr,6,0.63
10,2,de,4,fr,6,0.679
11,2,de,4,fr,6,0.6561
12,2,de,4,fr,6,0.7037
13,2,de,4,fr,6,0.6609
14,2,de,4,fr,6,0.6624
15,2,de,4,fr,6,0.647
16,2,de,4,fr,6,0.6521
17,2,de,4,fr,6,0.671
18,2,de,4,fr,6,0.6942
19,2,de,4,fr,6,0.6735
20,2,de,4,fr,6,0.7182
21,2,de,4,fr,6,0.6692
22,2,de,4,fr,6,0.6925
23,2,de,4,fr,6,0.7201
24,2,de,4,fr,6,0.7312
4,3,de,4,fr,6,0.5564
5,3,de,4,fr,6,0.6305
6,3,de,4,fr,6,0.5674
7,3,de,4,fr,6,0.5922
8,3,de,4,fr,6,0.6367
9,3,de,4,fr,6,0.6087
10,3,de,4,fr,6,0.6419
11,3,de,4,fr,6,0.6164
12,3,de,4,fr,6,0.6532
13,3,de,4,fr,6,0.5867
14,3,de,4,fr,6,0.6254
15,3,de,4,fr,6,0.6099
16,3,de,4,fr,6,0.6144
17,3,de,4,fr,6,0.6061
18,3,de,4,fr,6,0.63
19,3,de,4,fr,6,0.6194
20,3,de,4,fr,6,0.6069
21,3,de,4,fr,6,0.6104
22,3,de,4,fr,6,0.6133
23,3,de,4,fr,6,0.5878
24,3,de,4,fr,6,0.6524
4,4,de,4,fr,6,0.5055
5,4,de,4,fr,6,0.6097
6,4,de,4,fr,6,0.5209
7,4,de,4,fr,6,0.5893
8,4,de,4,fr,6,0.6422
9,4,de,4,fr,6,0.5793
10,4,de,4,fr,6,0.6256
11,4,de,4,fr,6,0.6203
12,4,de,4,fr,6,0.6285
13,4,de,4,fr,6,0.5431
14,4,de,4,fr,6,0.6088
15,4,de,4,fr,6,0.6015
16,4,de,4,fr,6,0.5975
17,4,de,4,fr,6,0.5842
18,4,de,4,fr,6,0.6181
19,4,de,4,fr,6,0.5888
20,4,de,4,fr,6,0.5983
21,4,de,4,fr,6,0.5815
22,4,de,4,fr,6,0.6015
23,4,de,4,fr,6,0.5399
24,4,de,4,fr,6,0.6151
4,5,de,4,fr,6,0.5012
5,5,de,4,fr,6,0.606
6,5,de,4,fr,6,0.5337
7,5,de,4,fr,6,0.6036
8,5,de,4,fr,6,0.638
9,5,de,4,fr,6,0.5903
10,5,de,4,fr,6,0.6358
11,5,de,4,fr,6,0.6162
12,5,de,4,fr,6,0.6499
13,5,de,4,fr,6,0.5554
14,5,de,4,fr,6,0.619
15,5,de,4,fr,6,0.611
16,5,de,4,fr,6,0.5951
17,5,de,4,fr,6,0.5835
18,5,de,4,fr,6,0.6493
19,5,de,4,fr,6,0.5983
20,5,de,4,fr,6,0.6162
21,5,de,4,fr,6,0.5813
22,5,de,4,fr,6,0.5976
23,5,de,4,fr,6,0.5733
24,5,de,4,fr,6,0.6352
4,6,de,4,fr,6,0.5899
5,6,de,4,fr,6,0.6104
6,6,de,4,fr,6,0.5682
7,6,de,4,fr,6,0.609
8,6,de,4,fr,6,0.6689
9,6,de,4,fr,6,0.607
10,6,de,4,fr,6,0.6231
11,6,de,4,fr,6,0.6106
12,6,de,4,fr,6,0.6171
13,6,de,4,fr,6,0.5275
14,6,de,4,fr,6,0.5907
15,6,de,4,fr,6,0.5147
16,6,de,4,fr,6,0.5924
17,6,de,4,fr,6,0.5638
18,6,de,4,fr,6,0.5944
19,6,de,4,fr,6,0.5207
20,6,de,4,fr,6,0.5626
21,6,de,4,fr,6,0.5706
22,6,de,4,fr,6,0.5666
23,6,de,4,fr,6,0.5331
24,6,de,4,fr,6,0.5761
4,7,de,4,fr,6,0.6481
5,7,de,4,fr,6,0.6357
6,7,de,4,fr,6,0.619
7,7,de,4,fr,6,0.6073
8,7,de,4,fr,6,0.6434
9,7,de,4,fr,6,0.589
10,7,de,4,fr,6,0.6071
11,7,de,4,fr,6,0.5825
12,7,de,4,fr,6,0.6299
13,7,de,4,fr,6,0.5419
14,7,de,4,fr,6,0.6154
15,7,de,4,fr,6,0.583
16,7,de,4,fr,6,0.6019
17,7,de,4,fr,6,0.6004
18,7,de,4,fr,6,0.5768
19,7,de,4,fr,6,0.5353
20,7,de,4,fr,6,0.5858
21,7,de,4,fr,6,0.5863
22,7,de,4,fr,6,0.5716
23,7,de,4,fr,6,0.5783
24,7,de,4,fr,6,0.6277
4,8,de,4,fr,6,0.6364
5,8,de,4,fr,6,0.6206
6,8,de,4,fr,6,0.5964
