steps,valid_acc,label
2500,0.912,en5_fr25_take6
2600,0.914,en5_fr25_take6
2700,0.917,en5_fr25_take6
2800,0.916,en5_fr25_take6
2900,0.919,en5_fr25_take6
3000,0.919,en5_fr25_take6
0,0,en5_fr25_take7
100,0.0933,en5_fr25_take7
200,0.166,en5_fr25_take7
300,0.319,en5_fr25_take7
400,0.422,en5_fr25_take7
500,0.546,en5_fr25_take7
600,0.651,en5_fr25_take7
700,0.728,en5_fr25_take7
800,0.777,en5_fr25_take7
900,0.808,en5_fr25_take7
1000,0.825,en5_fr25_take7
1100,0.844,en5_fr25_take7
1200,0.858,en5_fr25_take7
1300,0.867,en5_fr25_take7
1400,0.875,en5_fr25_take7
1500,0.882,en5_fr25_take7
1600,0.887,en5_fr25_take7
1700,0.891,en5_fr25_take7
1800,0.897,en5_fr25_take7
1900,0.901,en5_fr25_take7
2000,0.904,en5_fr25_take7
2100,0.905,en5_fr25_take7
2200,0.908,en5_fr25_take7
2300,0.91,en5_fr25_take7
2400,0.912,en5_fr25_take7
2500,0.913,en5_fr25_take7
2600,0.916,en5_fr25_take7
2700,0.917,en5_fr25_take7
2800,0.917,en5_fr25_take7
2900,0.92,en5_fr25_take7
3000,0.921,en5_fr25_take7
0,0,en5_fr25_take8
100,0.093,en5_fr25_take8
200,0.146,en5_fr25_take8
300,0.293,en5_fr25_take8
400,0.405,en5_fr25_take8
500,0.532,en5_fr25_take8
600,0.648,en5_fr25_take8
700,0.73,en5_fr25_take8
800,0.776,en5_fr25_take8
900,0.807,en5_fr25_take8
1000,0.828,en5_fr25_take8
1100,0.845,en5_fr25_take8
1200,0.855,en5_fr25_take8
1300,0.866,en5_fr25_take8
1400,0.876,en5_fr25_take8
1500,0.879,en5_fr25_take8
1600,0.886,en5_fr25_take8
1700,0.891,en5_fr25_take8
1800,0.896,en5_fr25_take8
1900,0.899,en5_fr25_take8
2000,0.901,en5_fr25_take8
2100,0.905,en5_fr25_take8
2200,0.908,en5_fr25_take8
2300,0.91,en5_fr25_take8
2400,0.911,en5_fr25_take8
2500,0.912,en5_fr25_take8
2600,0.914,en5_fr25_take8
2700,0.916,en5_fr25_take8
2800,0.916,en5_fr25_take8
2900,0.918,en5_fr25_take8
3000,0.922,en5_fr25_take8
0,0,fr25
100,0.0936,fr25
200,0.16,fr25
