name,layer,lang_a,epoch_a,lang_b,epoch_b,score
de25_take2_v_de25_take3_ckpt24_layer8,8,de25_take2,24,de25_take3,24,0.8283156752586365
de25_take2_v_de25_take3_ckpt25_layer8,8,de25_take2,25,de25_take3,25,0.8471134901046753
de25_take2_v_de25_take3_ckpt24_layer9,9,de25_take2,24,de25_take3,24,0.7950465679168701
de25_take2_v_de25_take3_ckpt25_layer9,9,de25_take2,25,de25_take3,25,0.8223899602890015
de25_take2_v_de25_take3_ckpt24_layer10,10,de25_take2,24,de25_take3,24,0.806064248085022
de25_take2_v_de25_take3_ckpt25_layer10,10,de25_take2,25,de25_take3,25,0.8062492609024048
de25_take2_v_de25_take3_ckpt24_layer11,11,de25_take2,24,de25_take3,24,0.8581467270851135
de25_take2_v_de25_take3_ckpt25_layer11,11,de25_take2,25,de25_take3,25,0.861433744430542
de25_take2_v_fr25_ckpt24_layer0,0,de25_take2,24,fr25,24,0.9673650860786438
de25_take2_v_fr25_ckpt25_layer0,0,de25_take2,25,fr25,25,0.8959900140762329
de25_take2_v_fr25_ckpt24_layer1,1,de25_take2,24,fr25,24,0.841991662979126
de25_take2_v_fr25_ckpt25_layer1,1,de25_take2,25,fr25,25,0.787089467048645
de25_take2_v_fr25_ckpt24_layer2,2,de25_take2,24,fr25,24,0.680729329586029
de25_take2_v_fr25_ckpt25_layer2,2,de25_take2,25,fr25,25,0.6204097270965576
de25_take2_v_fr25_ckpt24_layer3,3,de25_take2,24,fr25,24,0.522773802280426
de25_take2_v_fr25_ckpt25_layer3,3,de25_take2,25,fr25,25,0.5450433492660522
de25_take2_v_fr25_ckpt24_layer4,4,de25_take2,24,fr25,24,0.48709729313850403
de25_take2_v_fr25_ckpt25_layer4,4,de25_take2,25,fr25,25,0.5450080037117004
de25_take2_v_fr25_ckpt24_layer5,5,de25_take2,24,fr25,24,0.46288904547691345
de25_take2_v_fr25_ckpt25_layer5,5,de25_take2,25,fr25,25,0.49376752972602844
de25_take2_v_fr25_ckpt24_layer6,6,de25_take2,24,fr25,24,0.417166143655777
de25_take2_v_fr25_ckpt25_layer6,6,de25_take2,25,fr25,25,0.4074093997478485
de25_take2_v_fr25_ckpt24_layer7,7,de25_take2,24,fr25,24,0.5596476197242737
de25_take2_v_fr25_ckpt25_layer7,7,de25_take2,25,fr25,25,0.5446240305900574
de25_take2_v_fr25_ckpt24_layer8,8,de25_take2,24,fr25,24,0.6272133588790894
de25_take2_v_fr25_ckpt25_layer8,8,de25_take2,25,fr25,25,0.5717372894287109
de25_take2_v_fr25_ckpt24_layer9,9,de25_take2,24,fr25,24,0.5950974822044373
de25_take2_v_fr25_ckpt25_layer9,9,de25_take2,25,fr25,25,0.5783798694610596
de25_take2_v_fr25_ckpt24_layer10,10,de25_take2,24,fr25,24,0.5608732104301453
de25_take2_v_fr25_ckpt25_layer10,10,de25_take2,25,fr25,25,0.5295714735984802
de25_take2_v_fr25_ckpt24_layer11,11,de25_take2,24,fr25,24,0.5280589461326599
de25_take2_v_fr25_ckpt25_layer11,11,de25_take2,25,fr25,25,0.4931727945804596
de25_take2_v_fr25_take2_ckpt24_layer0,0,de25_take2,24,fr25_take2,24,0.976081132888794
de25_take2_v_fr25_take2_ckpt25_layer0,0,de25_take2,25,fr25_take2,25,0.9300763010978699
de25_take2_v_fr25_take2_ckpt24_layer1,1,de25_take2,24,fr25_take2,24,0.8346206545829773
de25_take2_v_fr25_take2_ckpt25_layer1,1,de25_take2,25,fr25_take2,25,0.7867118716239929
de25_take2_v_fr25_take2_ckpt24_layer2,2,de25_take2,24,fr25_take2,24,0.6619105935096741
de25_take2_v_fr25_take2_ckpt25_layer2,2,de25_take2,25,fr25_take2,25,0.6179594993591309
de25_take2_v_fr25_take2_ckpt24_layer3,3,de25_take2,24,fr25_take2,24,0.540971577167511
de25_take2_v_fr25_take2_ckpt25_layer3,3,de25_take2,25,fr25_take2,25,0.5570271015167236
de25_take2_v_fr25_take2_ckpt24_layer4,4,de25_take2,24,fr25_take2,24,0.5190656781196594
de25_take2_v_fr25_take2_ckpt25_layer4,4,de25_take2,25,fr25_take2,25,0.5858597755432129
de25_take2_v_fr25_take2_ckpt24_layer5,5,de25_take2,24,fr25_take2,24,0.4900361895561218
de25_take2_v_fr25_take2_ckpt25_layer5,5,de25_take2,25,fr25_take2,25,0.5383676290512085
de25_take2_v_fr25_take2_ckpt24_layer6,6,de25_take2,24,fr25_take2,24,0.41408827900886536
de25_take2_v_fr25_take2_ckpt25_layer6,6,de25_take2,25,fr25_take2,25,0.45153310894966125
de25_take2_v_fr25_take2_ckpt24_layer7,7,de25_take2,24,fr25_take2,24,0.5250585675239563
de25_take2_v_fr25_take2_ckpt25_layer7,7,de25_take2,25,fr25_take2,25,0.5324810147285461
de25_take2_v_fr25_take2_ckpt24_layer8,8,de25_take2,24,fr25_take2,24,0.6067587733268738
de25_take2_v_fr25_take2_ckpt25_layer8,8,de25_take2,25,fr25_take2,25,0.6018115878105164
de25_take2_v_fr25_take2_ckpt24_layer9,9,de25_take2,24,fr25_take2,24,0.6508566737174988
de25_take2_v_fr25_take2_ckpt25_layer9,9,de25_take2,25,fr25_take2,25,0.6289217472076416
de25_take2_v_fr25_take2_ckpt24_layer10,10,de25_take2,24,fr25_take2,24,0.5636134147644043
de25_take2_v_fr25_take2_ckpt25_layer10,10,de25_take2,25,fr25_take2,25,0.5527620315551758
de25_take2_v_fr25_take2_ckpt24_layer11,11,de25_take2,24,fr25_take2,24,0.5470316410064697
de25_take2_v_fr25_take2_ckpt25_layer11,11,de25_take2,25,fr25_take2,25,0.5290446281433105
de25_take2_v_fr25_take3_ckpt24_layer0,0,de25_take2,24,fr25_take3,24,0.3080112338066101
de25_take2_v_fr25_take3_ckpt25_layer0,0,de25_take2,25,fr25_take3,25,0.4053780734539032
de25_take2_v_fr25_take3_ckpt24_layer1,1,de25_take2,24,fr25_take3,24,-0.06937016546726227
de25_take2_v_fr25_take3_ckpt25_layer1,1,de25_take2,25,fr25_take3,25,-0.09084293991327286
de25_take2_v_fr25_take3_ckpt24_layer2,2,de25_take2,24,fr25_take3,24,-0.1225324496626854
de25_take2_v_fr25_take3_ckpt25_layer2,2,de25_take2,25,fr25_take3,25,-0.094811350107193
de25_take2_v_fr25_take3_ckpt24_layer3,3,de25_take2,24,fr25_take3,24,-0.09994355589151382
de25_take2_v_fr25_take3_ckpt25_layer3,3,de25_take2,25,fr25_take3,25,-0.09084633737802505
de25_take2_v_fr25_take3_ckpt24_layer4,4,de25_take2,24,fr25_take3,24,-0.07850586622953415
de25_take2_v_fr25_take3_ckpt25_layer4,4,de25_take2,25,fr25_take3,25,-0.0842624083161354
de25_take2_v_fr25_take3_ckpt24_layer5,5,de25_take2,24,fr25_take3,24,-0.03739970922470093
de25_take2_v_fr25_take3_ckpt25_layer5,5,de25_take2,25,fr25_take3,25,-0.03962428495287895
de25_take2_v_fr25_take3_ckpt24_layer6,6,de25_take2,24,fr25_take3,24,-0.08793304860591888
de25_take2_v_fr25_take3_ckpt25_layer6,6,de25_take2,25,fr25_take3,25,-0.0651915892958641
de25_take2_v_fr25_take3_ckpt24_layer7,7,de25_take2,24,fr25_take3,24,0.0030328265856951475
de25_take2_v_fr25_take3_ckpt25_layer7,7,de25_take2,25,fr25_take3,25,-0.014907779172062874
de25_take2_v_fr25_take3_ckpt24_layer8,8,de25_take2,24,fr25_take3,24,-0.00727779371663928
de25_take2_v_fr25_take3_ckpt25_layer8,8,de25_take2,25,fr25_take3,25,0.011152248829603195
de25_take2_v_fr25_take3_ckpt24_layer9,9,de25_take2,24,fr25_take3,24,0.06736253201961517
de25_take2_v_fr25_take3_ckpt25_layer9,9,de25_take2,25,fr25_take3,25,0.032287102192640305
de25_take2_v_fr25_take3_ckpt24_layer10,10,de25_take2,24,fr25_take3,24,0.027755247429013252
de25_take2_v_fr25_take3_ckpt25_layer10,10,de25_take2,25,fr25_take3,25,-0.007710687816143036
de25_take2_v_fr25_take3_ckpt24_layer11,11,de25_take2,24,fr25_take3,24,0.18836216628551483
de25_take2_v_fr25_take3_ckpt25_layer11,11,de25_take2,25,fr25_take3,25,0.19507203996181488
de25_take2_v_de25_take4_ckpt24_layer0,0,de25_take2,24,de25_take4,24,0.92169189453125
de25_take2_v_de25_take4_ckpt25_layer0,0,de25_take2,25,de25_take4,25,0.9774041771888733
de25_take2_v_de25_take4_ckpt24_layer1,1,de25_take2,24,de25_take4,24,0.8504705429077148
de25_take2_v_de25_take4_ckpt25_layer1,1,de25_take2,25,de25_take4,25,0.8742616176605225
de25_take2_v_de25_take4_ckpt24_layer2,2,de25_take2,24,de25_take4,24,0.8211219310760498
de25_take2_v_de25_take4_ckpt25_layer2,2,de25_take2,25,de25_take4,25,0.8234678506851196
de25_take2_v_de25_take4_ckpt24_layer3,3,de25_take2,24,de25_take4,24,0.892451286315918
de25_take2_v_de25_take4_ckpt25_layer3,3,de25_take2,25,de25_take4,25,0.8925521969795227
de25_take2_v_de25_take4_ckpt24_layer4,4,de25_take2,24,de25_take4,24,0.8967254161834717
de25_take2_v_de25_take4_ckpt25_layer4,4,de25_take2,25,de25_take4,25,0.8992437124252319
de25_take2_v_de25_take4_ckpt24_layer5,5,de25_take2,24,de25_take4,24,0.8261231780052185
de25_take2_v_de25_take4_ckpt25_layer5,5,de25_take2,25,de25_take4,25,0.8680800795555115
de25_take2_v_de25_take4_ckpt24_layer6,6,de25_take2,24,de25_take4,24,0.7761183381080627
de25_take2_v_de25_take4_ckpt25_layer6,6,de25_take2,25,de25_take4,25,0.8100054860115051
de25_take2_v_de25_take4_ckpt24_layer7,7,de25_take2,24,de25_take4,24,0.7661563158035278
de25_take2_v_de25_take4_ckpt25_layer7,7,de25_take2,25,de25_take4,25,0.8393415808677673
de25_take2_v_de25_take4_ckpt24_layer8,8,de25_take2,24,de25_take4,24,0.8033579587936401
de25_take2_v_de25_take4_ckpt25_layer8,8,de25_take2,25,de25_take4,25,0.8182862997055054
de25_take2_v_de25_take4_ckpt24_layer9,9,de25_take2,24,de25_take4,24,0.8392794132232666
de25_take2_v_de25_take4_ckpt25_layer9,9,de25_take2,25,de25_take4,25,0.83417809009552
de25_take2_v_de25_take4_ckpt24_layer10,10,de25_take2,24,de25_take4,24,0.786504328250885
de25_take2_v_de25_take4_ckpt25_layer10,10,de25_take2,25,de25_take4,25,0.7984892725944519
de25_take2_v_de25_take4_ckpt24_layer11,11,de25_take2,24,de25_take4,24,0.839534342288971
de25_take2_v_de25_take4_ckpt25_layer11,11,de25_take2,25,de25_take4,25,0.8447021245956421
de25_take2_v_fr25_take4_ckpt24_layer0,0,de25_take2,24,fr25_take4,24,0.9190006852149963
de25_take2_v_fr25_take4_ckpt25_layer0,0,de25_take2,25,fr25_take4,25,0.9729456901550293
de25_take2_v_fr25_take4_ckpt24_layer1,1,de25_take2,24,fr25_take4,24,0.8063585162162781
